U+00B7	·	MIDDLE DOT
U+00D7	×	MULTIPLICATION SIGN
U+2014	—	EM DASH
U+201C	“	LEFT DOUBLE QUOTATION MARK
U+201D	”	RIGHT DOUBLE QUOTATION MARK
U+2026	…	HORIZONTAL ELLIPSIS
U+2192	→	RIGHTWARDS ARROW
U+2605	★	BLACK STAR
U+3001	、	IDEOGRAPHIC COMMA
U+3002	。	IDEOGRAPHIC FULL STOP
U+300A	《	LEFT DOUBLE ANGLE BRACKET
U+300B	》	RIGHT DOUBLE ANGLE BRACKET
U+300C	「	LEFT CORNER BRACKET
U+300D	」	RIGHT CORNER BRACKET
U+300E	『	LEFT WHITE CORNER BRACKET
U+300F	』	RIGHT WHITE CORNER BRACKET
U+3010	【	LEFT BLACK LENTICULAR BRACKET
U+3011	】	RIGHT BLACK LENTICULAR BRACKET
U+4E00	一	CJK UNIFIED IDEOGRAPH-4E00
U+4E03	七	CJK UNIFIED IDEOGRAPH-4E03
U+4E07	万	CJK UNIFIED IDEOGRAPH-4E07
U+4E08	丈	CJK UNIFIED IDEOGRAPH-4E08
U+4E09	三	CJK UNIFIED IDEOGRAPH-4E09
U+4E0A	上	CJK UNIFIED IDEOGRAPH-4E0A
U+4E0B	下	CJK UNIFIED IDEOGRAPH-4E0B
U+4E0D	不	CJK UNIFIED IDEOGRAPH-4E0D
U+4E0E	与	CJK UNIFIED IDEOGRAPH-4E0E
U+4E13	专	CJK UNIFIED IDEOGRAPH-4E13
U+4E14	且	CJK UNIFIED IDEOGRAPH-4E14
U+4E16	世	CJK UNIFIED IDEOGRAPH-4E16
U+4E1A	业	CJK UNIFIED IDEOGRAPH-4E1A
U+4E1B	丛	CJK UNIFIED IDEOGRAPH-4E1B
U+4E1C	东	CJK UNIFIED IDEOGRAPH-4E1C
U+4E1D	丝	CJK UNIFIED IDEOGRAPH-4E1D
U+4E22	丢	CJK UNIFIED IDEOGRAPH-4E22
U+4E24	两	CJK UNIFIED IDEOGRAPH-4E24
